"CODE";"Label - English";"Label - French";"Label - German";"Standard code";"Note (EN only)"
A-S;"All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)";"Ensemble des activitÃ©s NACE (sauf les activitÃ©s des mÃ©nages en tant qu'employeurs et que producteurs pour usage propre; activitÃ©s extra-territoriales)";Alle NACE-Wirtschaftszweige (ohne Private Haushalte mit Hauspersonal und AktivitÃ¤ten Privater Haushalte zur Deckung des Eigenbedarfs, Exterritoriale Organisationen und KÃ¶rperschaften);Y;This aggregate includes the NACE sections A to S
A;Agriculture, forestry and fishing;Agriculture, sylviculture et pÃªche;Land- und Forstwirtschaft, Fischerei;Y;""
B-S;Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies);Industrie, construction et services (sauf les activitÃ©s des mÃ©nages en tant qu'employeurs et les activitÃ©s extra-territoriales);Industrie, Baugewerbe und Dienstleistungen (ohne private Haushalte mit Hauspersonal und extra-territoriale Organisationen und KÃ¶rperschaften);Y;This aggregate includes the NACE sections B to S
B-N;Business economy;Industrie et services marchands;Gewerbliche Wirtschaft;Y;This aggregate includes the NACE sections B to N
B-E;Industry (except construction);Industrie (sauf construction);Industrie (ohne Baugewerbe);Y;This aggregate includes the NACE sections B to E
C;Manufacturing;Industrie manufacturiÃ¨re;Verarbeitendes Gewerbe/Herstellung von Waren;Y;""
F;Construction;Construction;Baugewerbe/Bau;Y;""
G-N;Services of the business economy;Services de l'industrie et des services marchands;Wirtschaftliche Dienstleistungen fÃ¼r Unternehmen;Y;This aggregate includes the NACE sections G to N
G-I;Wholesale and retail trade, transport, accommodation and food service activities;Commerce, transport, hÃ©bergement et activitÃ©s de restauration;Handel, Instandhaltung, Verkehr, Gastgewerbe/Beherbergung und Gastronomie;Y;This aggregate includes all NACE activities from sections G, H and I
J;Information and communication;Information et communication;Information und Kommunikation;Y;""
K;Financial and insurance activities;ActivitÃ©s financiÃ¨res et d'assurance;Erbringung von Finanz- und Versicherungsdienstleistungen;Y;""
L;Real estate activities;ActivitÃ©s immobiliÃ¨res;GrundstÃ¼cks- und Wohnungswesen;Y;""
M_N;"Professional, scientific and technical activities; administrative and support service activities";"ActivitÃ©s spÃ©cialisÃ©es, scientifiques et techniques; activitÃ©s de services administratifs et de soutien";Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen, Erbringung von sonstigen wirtschaftlichen Dienstleistungen;Y;This aggregate includes the NACE sections  M and N
O-Q;Public administration, defence, education, human health and social work activities;Administration publique, dÃ©fense, Ã©ducation, santÃ© humaine et action sociale;Ã–ffentliche Verwaltung, Verteidigung, Erziehung und Unterricht, Gesundheits- und Sozialwesen;Y;This aggregate includes the NACE sections O, P and Q
R_S;"Arts, entertainment and recreation; other service activities";"Arts, spectacles et activitÃ©s rÃ©crÃ©atives; autres activitÃ©s de services";"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen";Y;This aggregate includes the NACE sections  R and S
